,P1,P2,P3,P4,mean,variance,ei,pi,ucb
87,1,3,3,4,-7.861892631371723e-26,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
88,1,3,3,5,1.0754331368150735e-30,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
89,1,3,3,6,6.776127517113889e-14,1.4319765095200456,0.02477545379146305,0.04960986528649862,5.983261045450211
90,1,3,3,7,6.612284254713618e-08,1.4319765095200407,0.024775457071804965,0.04960987094991011,5.9832611115729755
91,1,3,4,1,-4.897809705401812e-32,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
92,1,3,4,2,-3.379781760140293e-25,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
93,1,3,4,3,-1.4419165362874244e-19,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
94,1,3,4,4,-3.1960475431085633e-25,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
95,1,3,4,5,1.7122145406925277e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
96,1,3,4,6,9.499634799574203e-20,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
97,1,3,4,7,5.6521320592814756e-14,1.4319765095200456,0.024775453791462412,0.04960986528649772,5.983261045450201
98,1,3,5,1,-2.5989268005170517e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
99,1,3,5,2,-1.4419165362869348e-19,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
100,1,3,5,3,-8.579170909135745e-14,1.4319765095200456,0.024775453791455362,0.04960986528648549,5.983261045450058
101,1,3,5,4,-1.4419165362869348e-19,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
102,1,3,5,5,-2.5989268005170517e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
103,1,3,5,6,1.7122233402154387e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
104,1,3,5,7,5.612955275437144e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
105,1,4,1,1,-8.289282379138394e-21,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
106,1,4,1,2,-4.931989366276974e-15,1.4319765095200456,0.02477545379145936,0.04960986528649242,5.9832610454501385
107,1,4,1,3,8.092544978222617e-08,1.4319765095200432,0.024775457806160445,0.049609872217752746,5.983261126375587
108,1,4,1,4,0.4278045585863961,1.3646424384781408,0.05067794237216214,0.092981334282009,6.268700120223628
109,1,4,1,5,8.092546744540156e-08,1.4319765095200432,0.024775457806161333,0.04960987221775425,5.983261126375605
110,1,4,1,6,4.8578300402389236e-20,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
111,1,4,1,7,1.1239954578366007e-14,1.4319765095200456,0.024775453791460192,0.0496098652864938,5.983261045450155
112,1,4,2,1,-4.9319893665859205e-15,1.4319765095200456,0.02477545379145936,0.04960986528649242,5.9832610454501385
113,1,4,2,2,-4.81273422321306e-09,1.4319765095200432,0.02477545355270043,0.04960986487428229,5.983261040637403
114,1,4,2,3,7.799870505342595e-14,1.4319765095200456,0.024775453791463523,0.0496098652864995,5.983261045450222
115,1,4,2,4,8.092544978223446e-08,1.4319765095200432,0.024775457806160445,0.049609872217752746,5.983261126375587
116,1,4,2,5,8.293072410681147e-14,1.4319765095200456,0.024775453791463703,0.04960986528649993,5.983261045450226
117,1,4,2,6,1.123995457843181e-14,1.4319765095200456,0.024775453791460192,0.0496098652864938,5.983261045450155
118,1,4,2,7,1.0968173295983529e-08,1.4319765095200432,0.024775454335589114,0.04960986622591604,5.983261056418311
119,1,4,3,1,-8.289282379138394e-21,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
120,1,4,3,2,-4.9319893665859205e-15,1.4319765095200456,0.02477545379145936,0.04960986528649242,5.9832610454501385
121,1,4,3,3,-8.289282379166806e-21,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
122,1,4,3,4,3.0894637549214866e-25,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
123,1,4,3,5,8.235602715089528e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
124,1,4,3,6,1.8891191871329926e-20,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
125,1,4,3,7,1.123995457857657e-14,1.4319765095200456,0.024775453791460192,0.0496098652864938,5.983261045450155
126,1,4,4,1,-2.748333770962597e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
127,1,4,4,2,-1.4419165362874244e-19,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
128,1,4,4,3,-8.579170909135745e-14,1.4319765095200456,0.024775453791455362,0.04960986528648549,5.983261045450058
129,1,4,4,4,-1.4419165362869348e-19,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
130,1,4,4,5,-2.5989268005170517e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
131,1,4,4,6,2.0527203357841226e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
132,1,4,4,7,6.729161222377659e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
133,1,4,5,1,-8.519715557416871e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
134,1,4,5,2,-8.579170909135745e-14,1.4319765095200456,0.024775453791455362,0.04960986528648549,5.983261045450058
135,1,4,5,3,-8.37172718192076e-08,1.4319765095200432,0.02477544963825723,0.04960985811611404,5.983260961732865
136,1,4,5,4,-8.579170909135745e-14,1.4319765095200456,0.024775453791455362,0.04960986528648549,5.983261045450058
137,1,4,5,5,-8.519715557416871e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
138,1,4,5,6,8.425386801440404e-53,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
139,1,4,5,7,2.1346567220290839e-47,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
140,2,1,1,1,-5.058667652520992e-43,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
141,2,1,1,2,-1.494069704455454e-37,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
142,2,1,1,3,6.927858512467116e-37,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
