P1,P2,P3,P4,weight,category
1,4,1,4,4,1414
2,4,1,5,3,2415
1,4,1,6,2,1416
1,4,2,5,1,1425
1,4,1,5,4,1415
1,4,1,4,3,1414
2,4,1,5,2,2415
1,4,1,6,1,1416
1,4,1,4,4,1414
2,4,1,5,3,2415
1,4,1,6,2,1416
1,4,2,5,1,1425
3,4,1,7,4,3417
1,4,1,5,3,1415
1,4,1,4,2,1414
3,4,6,5,1,3465
