P1,P2,P3,P4,weight,category
1,3,2,3,4,1323
2,3,1,4,3,2314
1,3,1,4,2,1314
1,3,1,5,1,1315
1,3,2,2,4,1322
1,3,2,3,3,1323
2,3,1,4,2,2314
1,3,1,4,1,1314
1,3,2,3,4,1323
2,3,1,4,3,2314
1,3,1,4,2,1314
1,3,1,5,1,1315
1,3,1,3,4,1313
1,3,2,2,3,1322
1,2,2,5,2,1225
1,1,6,6,1,1166
