P1,P2,P3,P4,mean,variance,contained_before,ei,pi,ucb
1,1,1,1,0.1216499608571662,0.9968197715629435,False,0.0010958155470777043,0.0035793759854546633,2.078530855146904
1,1,1,2,0.15753799295955132,0.9850525000646508,False,0.0011630878814657235,0.003801335593874084,2.102834290249083
1,1,1,3,0.12357931571695441,0.8290320798310294,False,0.0004192701062258478,0.0016050516597881466,1.9081828117011137
1,1,1,4,0.29809084189231083,0.5465723397803502,False,6.577050059655741e-05,0.0003453441189552789,1.747129247353047
1,1,1,5,0.3768558154225519,0.8215849376816231,False,0.0010231135498245149,0.003672689772054502,2.1534257399112344
1,1,1,6,0.1445460712602876,0.9827158455061649,False,0.0011018347116807572,0.00362105530016658,2.08753376862136
1,1,1,7,-0.049101154971989,0.9969540983887314,False,0.0006198912728704233,0.0021168811710236914,1.9079115849891362
1,1,2,1,0.19789520093856322,0.9915354202743532,False,0.0013677006776554035,0.004397073517706766,2.14958228408636
1,1,2,2,0.22775656478457207,0.978752513393873,False,0.001417086901296943,0.004569313307029847,2.166822230370424
1,1,2,3,0.03487832847640791,0.9227983022782866,False,0.0005469840962178084,0.001954096640631575,1.9177011980082885
1,1,2,4,0.09015736293234823,0.8290232339285826,False,0.0003686752326436879,0.001424438573056676,1.8747513378913703
1,1,2,5,0.1351496364194547,0.9332176830383407,False,0.0008250155076505944,0.002841537523852608,2.0285722123807983
1,1,2,6,-0.16220291868954045,0.9757564417917235,False,0.00037009782508044993,0.0013252980802251032,1.773892623061198
1,1,2,7,-0.397094281557369,0.9496813144364404,False,0.0001299916279169054,0.0005052015763712095,1.512956957948794
1,1,3,1,0.1161684210246205,0.9968981721568967,False,0.0010767705515244193,0.0035220519618175635,2.0731262688481076
1,1,3,2,0.12658620219047895,0.9930826319099201,False,0.0010933952737916704,0.0035782810187971127,2.0797954174936293
1,1,3,3,-0.02326389231034767,0.9897640449013025,False,0.0006513271279856144,0.002223376837590761,1.9266790696484999
1,1,3,4,-0.06245195345094591,0.9887009966978678,False,0.0005660632574477943,0.001953726698640235,1.8864435668154762
1,1,3,5,-0.16887145042435547,0.9922173710140277,False,0.00039816295509402,0.001407467867725092,1.7834866756599674
1,1,3,6,-0.5586180078573812,0.9472051604238209,False,6.724613474918162e-05,0.00027222957847299,1.3489415178938204
1,1,3,7,-0.7623766204106958,0.8646490397635536,False,1.3442705508139659e-05,6.194090206150083e-05,1.060158907680778
1,1,4,1,0.00623016391397267,0.99982319940636,False,0.000759091970556622,0.002549158291730025,1.9660568916732082
1,1,4,2,-0.013614109692813771,0.9995312231185486,False,0.0007089425803352934,0.0023936113352303716,1.9459264351115586
1,1,4,3,-0.06877397861496941,0.9992543796617646,False,0.0005868133657505013,0.002010023106879561,1.8904951771950826
1,1,4,4,-0.09405646988889595,0.9993136230827953,False,0.0005381581398902682,0.0018551838440656018,1.8652707652698628
1,1,4,5,-0.24903307467830071,0.9928541296219427,False,0.0003002151297296922,0.0010820065873769719,1.7039514169026375
1,1,4,6,-0.5483433206840174,0.9677326294388953,False,8.181763788727586e-05,0.00032415141355800713,1.379775365821681
1,1,4,7,-0.5837558486856825,0.9474626263337486,False,6.0843613525294465e-05,0.00024770317236792695,1.324062912445397
1,1,5,1,-0.05327920913521602,0.999830271540358,False,0.000620654571277952,0.002116470428245361,1.906554449915837
1,1,5,2,-0.165002174756992,0.997502512734137,False,0.00041613097994132927,0.0014627574010008045,1.7925487576377337
1,1,5,3,-0.26040047601595007,0.9932579697711503,False,0.000288856333659849,0.0010436182137472131,1.6929811601915912
1,1,5,4,-0.18242211866921196,0.9973973017625003,False,0.0003911235334077695,0.0013809884849760043,1.77502557525541
1,1,5,5,-0.1603508010722952,0.99739940635645,False,0.00042273715690297614,0.0014843798657842738,1.797098958042594
1,1,5,6,-0.24382097627671012,0.9928901748209492,False,0.0003059707905950287,0.001101296727231351,1.7091989661693876
1,1,5,7,-0.20223753431395045,0.9956330699110586,False,0.00036087865748810196,0.001282496460320745,1.7534781918002318
1,1,6,1,-0.06951542620144867,0.9996479173187061,False,0.0005865767081134699,0.002008906891040419,1.8901395023947931
1,1,6,2,-0.2624748625370471,0.9932561163986363,False,0.0002866957742760144,0.0010363432299168001,1.6909049512106535
1,1,6,3,-0.4223251746216233,0.9816841303153722,False,0.00014721154277039022,0.0005589355603739251,1.5196423212493901
1,1,6,4,-0.26073348128389406,0.9932564281813505,False,0.0002885062926697387,0.0010424404575793305,1.69264663904637
1,1,6,5,-0.08320506834902637,0.9995408253524397,False,0.0005593366671888663,0.0019224953181313136,1.8763448888283691
1,1,6,6,-0.05087125122482542,0.9996623590219778,False,0.0006252062349746913,0.0021309864452866718,1.9087978326816462
1,1,6,7,-0.03275972516516479,0.9998697895577302,False,0.0006656563836479742,0.0022579231236114247,1.9271126644472243
1,2,1,1,0.5445792513963319,0.9371239472753521,False,0.003180465882637075,0.009724374982122154,2.4419604349893893
1,2,1,2,0.6991327344211906,0.8482624800036213,False,0.0034891266980792875,0.011058318444703518,2.5043155903064083
1,2,1,3,0.5232416630342974,0.5485400943807143,False,0.0002103511509927206,0.0010240740899370648,1.9748861190127411
1,2,1,4,1.289704716446228,1.0199999725454722e-08,True,0.0,0.0,1.289902666740356
1,2,1,5,1.7001338373534893,0.3995316338440392,False,0.01020500251814633,0.03999709062085897,2.9390207266921653
1,2,1,6,0.8063869787198983,0.8166244492369282,False,0.00424857601787236,0.013428883148751646,2.5775855797210916
1,2,1,7,0.03831464560789301,0.9832155786240867,False,0.0007753163024639522,0.002619548226282669,1.9817963066590827
1,2,2,1,0.8848420035225958,0.8303530362256214,False,0.00574757973551715,0.017467706016433868,2.6708667021100334
1,2,2,2,1.015862508442607,0.627860462433685,False,0.0032585276971254587,0.01190653260054631,2.56892038002539
1,2,2,3,0.14009232244763203,0.5465722787629496,False,2.8106981379516136e-05,0.00015490189806326903,1.5891306470256077
1,2,2,4,0.40794495203931613,0.5485300175643308,False,0.00011870081963201006,0.0006000363985534119,1.8595760744237644
1,2,2,5,0.8374672494201925,0.772084297430377,False,0.0038169034424842332,0.012507827508453506,2.5596864680472917
1,2,2,6,0.11279272437069676,0.883712668916921,False,0.000572738500028815,0.0020803342314957775,1.9553101839653797
1,2,2,7,-0.5574307936243273,0.8594187045909205,False,3.222348271681271e-05,0.00014231409127492075,1.259584037233275
1,2,3,1,0.5011399635050693,0.9376202607905041,False,0.0027885295209633468,0.00863148427796592,2.3990235199575722
1,2,3,2,0.5643472024904798,0.863765502691428,False,0.002432847501188412,0.007916214542831018,2.385951318411222
1,2,3,3,-0.08462229635509473,0.8490912293561046,False,0.00021462706287139928,0.0008511100823502766,1.7214421727861404
1,2,3,4,-0.15721563092493535,0.9240787945470086,False,0.0002728752814664939,0.001023566534213635,1.726913105953675
1,2,3,5,-0.06743139676819931,0.9786820782333714,False,0.000526162015270515,0.0018344852533468416,1.8715644958889563
1,2,3,6,-0.6540891016825886,0.8615771101820627,False,2.1364342584316717e-05,9.631585167862934e-05,1.165205988860837
1,2,3,7,-1.1228404894386204,0.6292631855615634,False,5.4304194303627453e-08,3.6407536686854005e-07,0.43195128236019564
1,2,4,1,-0.040252807470061276,0.9944363952796458,False,0.0006302928800311089,0.002152223505993583,1.9142872550782322
1,2,4,2,0.013516290022423577,0.9922548492776281,False,0.0007477597832859194,0.0025228489030315647,1.9659112882194933
1,2,4,3,-0.08782786207849096,0.992010583796792,False,0.0005281001268088439,0.001829246991500582,1.8643268087183074
1,2,4,4,-0.11509719434710403,0.996242347015128,False,0.000491902304196031,0.001709373604461288,1.8412168398236155
1,2,4,5,-0.20862089035231063,0.9953636799950936,False,0.0003522181621544878,0.0012540055896624587,1.7468302374105775
1,2,4,6,-0.5764461222441677,0.9474539645018768,False,6.267564966386838e-05,0.00025472848933903725,1.331363918098007
1,2,4,7,-0.7659512075570524,0.8646458970932335,False,1.322259675339891e-05,6.0976759527200506e-05,1.0565810084197644
1,2,5,1,-0.26670217843168814,0.9931984203776476,False,0.00028224649288311355,0.001021374150255199,1.686620900765087
1,2,5,2,-0.2383234392294937,0.9965667541007311,False,0.000319036804642995,0.00114305680586633,1.7183090869627315
1,2,5,3,-0.19331948302669968,0.9973442838805802,False,0.00037622428871499514,0.001332062389314441,1.7640761849351043
1,2,5,4,-0.11943542902707975,0.9990175363714422,False,0.0004921231564581682,0.0017078813726052044,1.8396015200181728
